Страна: Qatar     показатель экономики: 1.69042
Страна: Luxembourg     показатель экономики: 1.56391
Страна: Kuwait     показатель экономики: 1.55422
Страна: Singapore     показатель экономики: 1.52186
Страна: Norway     показатель экономики: 1.459
Страна: United Arab Emirates     показатель экономики: 1.42727
Страна: Switzerland     показатель экономики: 1.39651
Страна: Saudi Arabia     показатель экономики: 1.39541
Страна: United States     показатель экономики: 1.39451
Страна: Hong Kong     показатель экономики: 1.38604
Страна: Oman     показатель экономики: 1.36011
Страна: Austria     показатель экономики: 1.33723
Страна: Ireland     показатель экономики: 1.33596
Страна: Australia     показатель экономики: 1.33358
Страна: Sweden     показатель экономики: 1.33171
Страна: Netherlands     показатель экономики: 1.32944
Страна: Germany     показатель экономики: 1.32792
Страна: Canada     показатель экономики: 1.32629
Страна: Denmark     показатель экономики: 1.32548
Страна: Bahrain     показатель экономики: 1.32376
Страна: Belgium     показатель экономики: 1.30782
Страна: Iceland     показатель экономики: 1.30232
Страна: Taiwan     показатель экономики: 1.29098
Страна: Finland     показатель экономики: 1.29025
Страна: France     показатель экономики: 1.27778
Страна: Japan     показатель экономики: 1.27074
Страна: United Kingdom     показатель экономики: 1.26637
Страна: Italy     показатель экономики: 1.25114
Страна: New Zealand     показатель экономики: 1.25018
Страна: South Korea     показатель экономики: 1.24461
Страна: Spain     показатель экономики: 1.23011
Страна: Israel     показатель экономики: 1.22857
Страна: Trinidad and Tobago     показатель экономики: 1.21183
Страна: Cyprus     показатель экономики: 1.20813
Страна: North Cyprus     показатель экономики: 1.20806
Страна: Malta     показатель экономики: 1.2074
Страна: Slovenia     показатель экономики: 1.18498
Страна: Czech Republic     показатель экономики: 1.17898
Страна: Slovakia     показатель экономики: 1.16891
Страна: Portugal     показатель экономики: 1.15991
Страна: Greece     показатель экономики: 1.15406
Страна: Estonia     показатель экономики: 1.15174
Страна: Lithuania     показатель экономики: 1.14723
Страна: Russia     показатель экономики: 1.13764
Страна: Libya     показатель экономики: 1.13145
Страна: Poland     показатель экономики: 1.12555
